RMS,MAV,WL,target
550.9173633801897,550.8444995864351,1480.0,mikro
548.460389266061,548.3626964433416,1387.0,mikro
551.3105714149204,551.1583953680728,1404.0,mikro
548.5629372391919,548.4110835401158,1645.0,mikro
550.0382541775856,549.9784946236559,1339.0,mikro
550.494687674624,550.4425144747726,1368.0,mikro
551.0710479008801,551.0169561621175,1359.0,mikro
549.7260743532377,549.6790736145575,1271.0,mikro
551.3732236532588,551.3225806451613,1283.0,mikro
549.3391412800169,549.2787427626138,1436.0,mikro
551.5641571363676,551.4346567411084,1569.0,mikro
550.3927629869302,550.3382961124896,1374.0,mikro
550.0628312107353,549.9909015715467,1480.0,mikro
548.4950268309002,548.3999172870141,1629.0,mikro
550.490160935701,550.4354838709677,1425.0,mikro
549.0989698224262,549.0450785773367,1377.0,mikro
550.8228501446921,550.7609594706369,1395.0,mikro
548.5105571139982,548.449958643507,1329.0,mikro
549.3638632634284,549.291976840364,1508.0,mikro
548.7440313965911,548.677005789909,1431.0,mikro
551.5599473465746,551.5153019023987,1444.0,mikro
549.02093058162,548.9375516956162,1555.0,mikro
548.946772215868,548.8672456575682,1568.0,mikro
550.1751307760105,550.0996691480563,1509.0,mikro
549.3384418904498,549.2812241521918,1497.0,mikro
549.7189984473239,549.6315136476427,1631.0,mikro
550.0256126076315,549.9545078577337,1419.0,mikro
549.7848748393781,549.7196029776675,1432.0,mikro
548.9709385731175,548.9168734491315,1381.0,mikro
549.3158859112622,549.2295285359802,1805.0,mikro
549.8160320944236,549.7551695616212,1537.0,mikro
548.9389178076838,548.8469809760132,1529.0,mikro
549.2194472528215,549.0657568238213,1898.0,mikro
549.3829906256209,549.29735318445,1656.0,mikro
549.6890571526322,549.586435070306,1793.0,mikro
549.802347370875,549.686517783292,1928.0,mikro
550.9912955528614,550.8105872622002,2021.0,mikro
549.9375413817546,549.8196856906534,1920.0,mikro
549.554262947622,549.3941273779983,2089.0,mikro
549.2901223800146,549.0380479735319,2227.0,mikro
551.5148530800484,551.3808933002481,1887.0,mikro
550.689806164714,550.5934656741108,1793.0,mikro
549.8977862010514,549.7803970223325,1980.0,mikro
548.6570581074152,548.5409429280397,1824.0,mikro
549.0659585141001,548.9619520264681,1771.0,mikro
548.7747156945261,548.6827956989247,1909.0,mikro
549.9083546475415,549.7394540942928,2004.0,mikro
550.4572522165398,550.3668320926386,1751.0,mikro
552.0202347168148,551.8746898263028,2021.0,mikro
